Date and Time,B(x) nT,B(y) nT,B(z) nT,B-mag nT,x (Rj),y (Rj),z (Rj)
1996-06-27T06:07:08.894,17.9,-73.51,-83.67,112.8,-0.09,-4.01,0.04
1996-06-27T06:07:09.260,17.91,-73.47,-83.69,112.8,-0.09,-4.01,0.04
1996-06-27T06:07:09.560,17.88,-73.58,-83.56,112.77,-0.09,-4.01,0.04
1996-06-27T06:07:09.927,17.82,-73.59,-83.6,112.79,-0.09,-4,0.04
1996-06-27T06:07:10.227,17.89,-73.59,-83.49,112.72,-0.09,-4,0.04
1996-06-27T06:07:10.594,17.93,-73.71,-83.31,112.67,-0.09,-4,0.04
1996-06-27T06:07:10.894,18.02,-73.76,-83.33,112.73,-0.09,-4,0.04
1996-06-27T06:07:11.260,17.89,-73.89,-83.26,112.75,-0.09,-4,0.04
1996-06-27T06:07:11.560,17.85,-74,-83.25,112.8,-0.09,-4,0.04
1996-06-27T06:07:11.927,17.86,-73.95,-83.43,112.91,-0.09,-4,0.04
1996-06-27T06:07:12.227,17.98,-74.13,-83.26,112.92,-0.09,-4,0.04
1996-06-27T06:07:12.594,17.97,-74.16,-83.24,112.93,-0.09,-4,0.04
1996-06-27T06:07:12.894,18.02,-74.16,-83.06,112.8,-0.09,-4,0.04
1996-06-27T06:07:13.260,18.15,-73.91,-82.87,112.51,-0.09,-4,0.04
1996-06-27T06:07:13.560,18.14,-73.99,-82.85,112.55,-0.09,-3.99,0.04
1996-06-27T06:07:13.927,18.17,-73.83,-82.72,112.36,-0.09,-3.99,0.04
1996-06-27T06:07:14.227,18.31,-73.98,-82.55,112.35,-0.08,-3.99,0.04
1996-06-27T06:07:14.594,18.38,-73.94,-82.35,112.19,-0.08,-3.99,0.04
1996-06-27T06:07:14.894,18.47,-73.94,-82.35,112.21,-0.08,-3.99,0.04
1996-06-27T06:07:15.260,18.45,-73.88,-82.38,112.18,-0.08,-3.99,0.04
1996-06-27T06:07:15.560,18.54,-73.91,-82.45,112.27,-0.08,-3.99,0.04
1996-06-27T06:07:15.927,18.56,-73.85,-82.5,112.27,-0.08,-3.99,0.04
1996-06-27T06:07:16.227,18.49,-73.8,-82.56,112.27,-0.08,-3.99,0.04
1996-06-27T06:07:16.594,18.58,-73.8,-82.62,112.33,-0.08,-3.99,0.04
1996-06-27T06:07:16.894,18.6,-73.72,-82.69,112.33,-0.08,-3.99,0.04
1996-06-27T06:07:17.260,18.86,-73.76,-82.48,112.25,-0.08,-3.98,0.04
1996-06-27T06:07:17.560,18.78,-73.56,-82.72,112.27,-0.08,-3.98,0.04
1996-06-27T06:07:17.927,18.54,-73.54,-82.87,112.33,-0.08,-3.98,0.04
